"Time stamp","System power generated | (kW)","Sun position time | (hour)","Irradiance DHI from weather file | (W/m2)"
"Mar 9, 10:00 pm",-0.0034239,22,0
"Mar 9, 11:00 pm",-0.0034239,23,0
"Mar 10, 12:00 am",-0.0034239,0,0
"Mar 10, 01:00 am",-0.0034239,1,0
"Mar 10, 02:00 am",-0.0034239,2,0
"Mar 10, 03:00 am",-0.0034239,3,0
"Mar 10, 04:00 am",-0.0034239,4,0
"Mar 10, 05:00 am",-0.0034239,5,0
"Mar 10, 06:00 am",-0.0034239,6,0
"Mar 10, 07:00 am",0.0109308,7,27
"Mar 10, 08:00 am",0.0470834,8,37
"Mar 10, 09:00 am",0.258586,9,113
"Mar 10, 10:00 am",0.206428,10,101
"Mar 10, 11:00 am",0.444246,11,184
"Mar 10, 12:00 pm",0.281592,12,126
"Mar 10, 01:00 pm",0.386232,13,164
"Mar 10, 02:00 pm",0.241654,14,112
"Mar 10, 03:00 pm",0.0407585,15,27
"Mar 10, 04:00 pm",0.519932,16,79
"Mar 10, 05:00 pm",-0.0034239,17,0
"Mar 10, 06:00 pm",-0.0034239,18,0
"Mar 10, 07:00 pm",-0.0034239,19,0
"Mar 10, 08:00 pm",-0.0034239,20,0
"Mar 10, 09:00 pm",-0.0034239,21,0
"Mar 10, 10:00 pm",-0.0034239,22,0
"Mar 10, 11:00 pm",-0.0034239,23,0
"Mar 11, 12:00 am",-0.0034239,0,0
"Mar 11, 01:00 am",-0.0034239,1,0
"Mar 11, 02:00 am",-0.0034239,2,0
"Mar 11, 03:00 am",-0.0034239,3,0
"Mar 11, 04:00 am",-0.0034239,4,0
"Mar 11, 05:00 am",-0.0034239,5,0
"Mar 11, 06:00 am",-0.0034239,6,0
"Mar 11, 07:00 am",0.0277665,7,44
"Mar 11, 08:00 am",0.314409,8,93
"Mar 11, 09:00 am",0.128031,9,72
"Mar 11, 10:00 am",0.423391,10,174
"Mar 11, 11:00 am",1.55591,11,299
"Mar 11, 12:00 pm",0.382485,12,164
"Mar 11, 01:00 pm",0.268665,13,122
"Mar 11, 02:00 pm",0.22102,14,105
"Mar 11, 03:00 pm",0.189341,15,95
"Mar 11, 04:00 pm",0.288585,16,76
"Mar 11, 05:00 pm",-0.0034239,17,0
"Mar 11, 06:00 pm",-0.0034239,18,0
"Mar 11, 07:00 pm",-0.0034239,19,0
"Mar 11, 08:00 pm",-0.0034239,20,0
"Mar 11, 09:00 pm",-0.0034239,21,0
"Mar 11, 10:00 pm",-0.0034239,22,0
"Mar 11, 11:00 pm",-0.0034239,23,0
"Mar 12, 12:00 am",-0.0034239,0,0
"Mar 12, 01:00 am",-0.0034239,1,0
"Mar 12, 02:00 am",-0.0034239,2,0
"Mar 12, 03:00 am",-0.0034239,3,0
"Mar 12, 04:00 am",-0.0034239,4,0
"Mar 12, 05:00 am",-0.0034239,5,0
"Mar 12, 06:00 am",-0.0034239,6,2
"Mar 12, 07:00 am",0.0170072,7,33
"Mar 12, 08:00 am",1.81186,8,163
"Mar 12, 09:00 am",1.5938,9,233
"Mar 12, 10:00 am",1.05625,10,267
"Mar 12, 11:00 am",1.50542,11,308
"Mar 12, 12:00 pm",0.394264,12,167
"Mar 12, 01:00 pm",0.272162,13,122
"Mar 12, 02:00 pm",0.295534,14,132
"Mar 12, 03:00 pm",0.942133,15,166
"Mar 12, 04:00 pm",1.93784,16,59
"Mar 12, 05:00 pm",-0.0034239,17,0
"Mar 12, 06:00 pm",-0.0034239,18,0
"Mar 12, 07:00 pm",-0.0034239,19,0
"Mar 12, 08:00 pm",-0.0034239,20,0
"Mar 12, 09:00 pm",-0.0034239,21,0
"Mar 12, 10:00 pm",-0.0034239,22,0
"Mar 12, 11:00 pm",-0.0034239,23,0
"Mar 13, 12:00 am",-0.0034239,0,0
"Mar 13, 01:00 am",-0.0034239,1,0
"Mar 13, 02:00 am",-0.0034239,2,0
"Mar 13, 03:00 am",-0.0034239,3,0
"Mar 13, 04:00 am",-0.0034239,4,0
"Mar 13, 05:00 am",-0.0034239,5,0
"Mar 13, 06:00 am",-0.0034239,6,3
"Mar 13, 07:00 am",0.0970891,7,76
"Mar 13, 08:00 am",0.116558,8,59
"Mar 13, 09:00 am",0.299922,9,125
"Mar 13, 10:00 am",0.243556,10,113
"Mar 13, 11:00 am",0.32822,11,142
"Mar 13, 12:00 pm",0.642584,12,238
"Mar 13, 01:00 pm",0.230703,13,104
"Mar 13, 02:00 pm",0.250255,14,113
"Mar 13, 03:00 pm",0.130198,15,67
"Mar 13, 04:00 pm",0.0874021,16,51
"Mar 13, 05:00 pm",-0.0034239,17,6
"Mar 13, 06:00 pm",-0.0034239,18,0
"Mar 13, 07:00 pm",-0.0034239,19,0
"Mar 13, 08:00 pm",-0.0034239,20,0
"Mar 13, 09:00 pm",-0.0034239,21,0
"Mar 13, 10:00 pm",-0.0034239,22,0
"Mar 13, 11:00 pm",-0.0034239,23,0
"Mar 14, 12:00 am",-0.0034239,0,0
"Mar 14, 01:00 am",-0.0034239,1,0
"Mar 14, 02:00 am",-0.0034239,2,0
"Mar 14, 03:00 am",-0.0034239,3,0
"Mar 14, 04:00 am",-0.0034239,4,0
"Mar 14, 05:00 am",-0.0034239,5,0
"Mar 14, 06:00 am",-0.0034239,6,15
"Mar 14, 07:00 am",0.760327,7,86
"Mar 14, 08:00 am",2.33774,8,105
"Mar 14, 09:00 am",2.84697,9,87
"Mar 14, 10:00 am",2.8935,10,77
"Mar 14, 11:00 am",2.85519,11,76
"Mar 14, 12:00 pm",2.84048,12,72
"Mar 14, 01:00 pm",2.80186,13,77
"Mar 14, 02:00 pm",2.67935,14,82
"Mar 14, 03:00 pm",2.50159,15,69
"Mar 14, 04:00 pm",1.85201,16,66
"Mar 14, 05:00 pm",0.0933268,17,11
"Mar 14, 06:00 pm",-0.0034239,18,0
"Mar 14, 07:00 pm",-0.0034239,19,0
"Mar 14, 08:00 pm",-0.0034239,20,0
"Mar 14, 09:00 pm",-0.0034239,21,0
"Mar 14, 10:00 pm",-0.0034239,22,0
"Mar 14, 11:00 pm",-0.0034239,23,0
"Mar 15, 12:00 am",-0.0034239,0,0
"Mar 15, 01:00 am",-0.0034239,1,0
"Mar 15, 02:00 am",-0.0034239,2,0
"Mar 15, 03:00 am",-0.0034239,3,0
"Mar 15, 04:00 am",-0.0034239,4,0
"Mar 15, 05:00 am",-0.0034239,5,0
"Mar 15, 06:00 am",-0.0034239,6,9
"Mar 15, 07:00 am",0.102332,7,81
"Mar 15, 08:00 am",0.332821,8,103
"Mar 15, 09:00 am",0.268391,9,118
"Mar 15, 10:00 am",0.353243,10,152
"Mar 15, 11:00 am",0.265325,11,120
"Mar 15, 12:00 pm",0.249503,12,112
"Mar 15, 01:00 pm",0.211186,13,97
"Mar 15, 02:00 pm",0.080716,14,43
"Mar 15, 03:00 pm",0.164982,15,83
"Mar 15, 04:00 pm",0.288145,16,83
"Mar 15, 05:00 pm",-0.0034239,17,8
"Mar 15, 06:00 pm",-0.0034239,18,0
"Mar 15, 07:00 pm",-0.0034239,19,0
"Mar 15, 08:00 pm",-0.0034239,20,0
"Mar 15, 09:00 pm",-0.0034239,21,0
"Mar 15, 10:00 pm",-0.0034239,22,0
"Mar 15, 11:00 pm",-0.0034239,23,0
"Mar 16, 12:00 am",-0.0034239,0,0
"Mar 16, 01:00 am",-0.0034239,1,0
"Mar 16, 02:00 am",-0.0034239,2,0
"Mar 16, 03:00 am",-0.0034239,3,0
"Mar 16, 04:00 am",-0.0034239,4,0
"Mar 16, 05:00 am",-0.0034239,5,0
"Mar 16, 06:00 am",-0.0034239,6,3
"Mar 16, 07:00 am",1.49666,7,93
"Mar 16, 08:00 am",0.842406,8,160
"Mar 16, 09:00 am",0.311933,9,131
"Mar 16, 10:00 am",0.350748,10,151
"Mar 16, 11:00 am",1.207,11,312
"Mar 16, 12:00 pm",1.10722,12,306
"Mar 16, 01:00 pm",1.11827,13,288
"Mar 16, 02:00 pm",2.42644,14,140
"Mar 16, 03:00 pm",1.74253,15,150
"Mar 16, 04:00 pm",2.00928,16,56
"Mar 16, 05:00 pm",0.153433,17,15
"Mar 16, 06:00 pm",-0.0034239,18,0
"Mar 16, 07:00 pm",-0.0034239,19,0
"Mar 16, 08:00 pm",-0.0034239,20,0
"Mar 16, 09:00 pm",-0.0034239,21,0
"Mar 16, 10:00 pm",-0.0034239,22,0
"Mar 16, 11:00 pm",-0.0034239,23,0
"Mar 17, 12:00 am",-0.0034239,0,0
"Mar 17, 01:00 am",-0.0034239,1,0
"Mar 17, 02:00 am",-0.0034239,2,0
"Mar 17, 03:00 am",-0.0034239,3,0
"Mar 17, 04:00 am",-0.0034239,4,0
"Mar 17, 05:00 am",-0.0034239,5,0
"Mar 17, 06:00 am",-0.0034239,6,8
"Mar 17, 07:00 am",0.393603,7,57
"Mar 17, 08:00 am",0.571633,8,138
"Mar 17, 09:00 am",0.567741,9,188
"Mar 17, 10:00 am",1.17318,10,287
"Mar 17, 11:00 am",0.822574,11,277
"Mar 17, 12:00 pm",0.492386,12,197
"Mar 17, 01:00 pm",0.389213,13,161
"Mar 17, 02:00 pm",0.124683,14,61
"Mar 17, 03:00 pm",0.155486,15,77
"Mar 17, 04:00 pm",0.110597,16,61
"Mar 17, 05:00 pm",-0.0034239,17,6
"Mar 17, 06:00 pm",-0.0034239,18,0
"Mar 17, 07:00 pm",-0.0034239,19,0
"Mar 17, 08:00 pm",-0.0034239,20,0
"Mar 17, 09:00 pm",-0.0034239,21,0
"Mar 17, 10:00 pm",-0.0034239,22,0
"Mar 17, 11:00 pm",-0.0034239,23,0
"Mar 18, 12:00 am",-0.0034239,0,0
"Mar 18, 01:00 am",-0.0034239,1,0
"Mar 18, 02:00 am",-0.0034239,2,0
"Mar 18, 03:00 am",-0.0034239,3,0
"Mar 18, 04:00 am",-0.0034239,4,0
"Mar 18, 05:00 am",-0.0034239,5,0
"Mar 18, 06:00 am",-0.0034239,6,13
"Mar 18, 07:00 am",0.51369,7,66
"Mar 18, 08:00 am",0.813802,8,162
"Mar 18, 09:00 am",0.402149,9,153
"Mar 18, 10:00 am",0.442348,10,176
"Mar 18, 11:00 am",0.363115,11,151
"Mar 18, 12:00 pm",0.355751,12,147
"Mar 18, 01:00 pm",0.311334,13,131
"Mar 18, 02:00 pm",0.26582,14,116
"Mar 18, 03:00 pm",0.207315,15,97
"Mar 18, 04:00 pm",0.127621,16,68
"Mar 18, 05:00 pm",-0.0034239,17,3
"Mar 18, 06:00 pm",-0.0034239,18,0
"Mar 18, 07:00 pm",-0.0034239,19,0
"Mar 18, 08:00 pm",-0.0034239,20,0
"Mar 18, 09:00 pm",-0.0034239,21,0
"Mar 18, 10:00 pm",-0.0034239,22,0
"Mar 18, 11:00 pm",-0.0034239,23,0
"Mar 19, 12:00 am",-0.0034239,0,0
"Mar 19, 01:00 am",-0.0034239,1,0
"Mar 19, 02:00 am",-0.0034239,2,0
"Mar 19, 03:00 am",-0.0034239,3,0
"Mar 19, 04:00 am",-0.0034239,4,0
"Mar 19, 05:00 am",-0.0034239,5,0
"Mar 19, 06:00 am",-0.0034239,6,21
"Mar 19, 07:00 am",0.761773,7,82
"Mar 19, 08:00 am",0.631704,8,149
"Mar 19, 09:00 am",0.410792,9,157
"Mar 19, 10:00 am",0.499223,10,195
"Mar 19, 11:00 am",0.769983,11,270
"Mar 19, 12:00 pm",0.820449,12,281
"Mar 19, 01:00 pm",1.08799,13,292
"Mar 19, 02:00 pm",0.374532,14,156
"Mar 19, 03:00 pm",0.193066,15,92
"Mar 19, 04:00 pm",0.158186,16,76
"Mar 19, 05:00 pm",-0.0034239,17,6
"Mar 19, 06:00 pm",-0.0034239,18,0
"Mar 19, 07:00 pm",-0.0034239,19,0
"Mar 19, 08:00 pm",-0.0034239,20,0
"Mar 19, 09:00 pm",-0.0034239,21,0
"Mar 19, 10:00 pm",-0.0034239,22,0
"Mar 19, 11:00 pm",-0.0034239,23,0
"Mar 20, 12:00 am",-0.0034239,0,0
"Mar 20, 01:00 am",-0.0034239,1,0
"Mar 20, 02:00 am",-0.0034239,2,0
"Mar 20, 03:00 am",-0.0034239,3,0
"Mar 20, 04:00 am",-0.0034239,4,0
"Mar 20, 05:00 am",-0.0034239,5,0
"Mar 20, 06:00 am",-0.0034239,6,31
"Mar 20, 07:00 am",1.2633,7,82
"Mar 20, 08:00 am",2.68859,8,101
"Mar 20, 09:00 am",2.955,9,117
"Mar 20, 10:00 am",2.9799,10,94
"Mar 20, 11:00 am",2.9799,11,110
"Mar 20, 12:00 pm",1.04202,12,306
"Mar 20, 01:00 pm",0.510581,13,199
"Mar 20, 02:00 pm",0.417823,14,168
"Mar 20, 03:00 pm",0.38558,15,149
"Mar 20, 04:00 pm",0.668059,16,106
"Mar 20, 05:00 pm",0.0147705,17,16
"Mar 20, 06:00 pm",-0.0034239,18,0
"Mar 20, 07:00 pm",-0.0034239,19,0
"Mar 20, 08:00 pm",-0.0034239,20,0
"Mar 20, 09:00 pm",-0.0034239,21,0
"Mar 20, 10:00 pm",-0.0034239,22,0
"Mar 20, 11:00 pm",-0.0034239,23,0
"Mar 21, 12:00 am",-0.0034239,0,0
"Mar 21, 01:00 am",-0.0034239,1,0
"Mar 21, 02:00 am",-0.0034239,2,0
"Mar 21, 03:00 am",-0.0034239,3,0
"Mar 21, 04:00 am",-0.0034239,4,0
"Mar 21, 05:00 am",-0.0034239,5,0
"Mar 21, 06:00 am",-0.0034239,6,30
"Mar 21, 07:00 am",1.55252,7,70
"Mar 21, 08:00 am",2.70004,8,104
"Mar 21, 09:00 am",2.9799,9,101
"Mar 21, 10:00 am",2.9799,10,139
"Mar 21, 11:00 am",2.9799,11,94
"Mar 21, 12:00 pm",2.9799,12,64
"Mar 21, 01:00 pm",2.9799,13,66
"Mar 21, 02:00 pm",2.9799,14,72
"Mar 21, 03:00 pm",2.81918,15,66
"Mar 21, 04:00 pm",1.67416,16,94
"Mar 21, 05:00 pm",1.21394,17,22
"Mar 21, 06:00 pm",-0.0034239,18,0
"Mar 21, 07:00 pm",-0.0034239,19,0
"Mar 21, 08:00 pm",-0.0034239,20,0
"Mar 21, 09:00 pm",-0.0034239,21,0
"Mar 21, 10:00 pm",-0.0034239,22,0
"Mar 21, 11:00 pm",-0.0034239,23,0
"Mar 22, 12:00 am",-0.0034239,0,0
"Mar 22, 01:00 am",-0.0034239,1,0
"Mar 22, 02:00 am",-0.0034239,2,0
"Mar 22, 03:00 am",-0.0034239,3,0
"Mar 22, 04:00 am",-0.0034239,4,0
"Mar 22, 05:00 am",-0.0034239,5,0
"Mar 22, 06:00 am",-0.0034239,6,35
"Mar 22, 07:00 am",1.68972,7,109
"Mar 22, 08:00 am",1.51363,8,200
"Mar 22, 09:00 am",1.49118,9,268
"Mar 22, 10:00 am",1.25745,10,306
"Mar 22, 11:00 am",0.637604,11,240
"Mar 22, 12:00 pm",0.575134,12,221
"Mar 22, 01:00 pm",0.279855,13,119
"Mar 22, 02:00 pm",0.363376,14,151
"Mar 22, 03:00 pm",0.229036,15,105
"Mar 22, 04:00 pm",0.0638534,16,38
"Mar 22, 05:00 pm",0.0602198,17,19
"Mar 22, 06:00 pm",-0.0034239,18,0
"Mar 22, 07:00 pm",-0.0034239,19,0
"Mar 22, 08:00 pm",-0.0034239,20,0
"Mar 22, 09:00 pm",-0.0034239,21,0
"Mar 22, 10:00 pm",-0.0034239,22,0
"Mar 22, 11:00 pm",-0.0034239,23,0
"Mar 23, 12:00 am",-0.0034239,0,0
"Mar 23, 01:00 am",-0.0034239,1,0
"Mar 23, 02:00 am",-0.0034239,2,0
"Mar 23, 03:00 am",-0.0034239,3,0
"Mar 23, 04:00 am",-0.0034239,4,0
"Mar 23, 05:00 am",-0.0034239,5,0
"Mar 23, 06:00 am",-0.0034239,6,36
"Mar 23, 07:00 am",1.22388,7,102
"Mar 23, 08:00 am",0.711664,8,169
"Mar 23, 09:00 am",0.699078,9,221
"Mar 23, 10:00 am",1.05003,10,290
"Mar 23, 11:00 am",1.60314,11,343
"Mar 23, 12:00 pm",1.47654,12,341
"Mar 23, 01:00 pm",0.88729,13,277
"Mar 23, 02:00 pm",0.387722,14,162
"Mar 23, 03:00 pm",0.256833,15,117
"Mar 23, 04:00 pm",0.0709969,16,42
"Mar 23, 05:00 pm",0.00380062,17,10
"Mar 23, 06:00 pm",-0.0034239,18,0
"Mar 23, 07:00 pm",-0.0034239,19,0
"Mar 23, 08:00 pm",-0.0034239,20,0
"Mar 23, 09:00 pm",-0.0034239,21,0
"Mar 23, 10:00 pm",-0.0034239,22,0
"Mar 23, 11:00 pm",-0.0034239,23,0
"Mar 24, 12:00 am",-0.0034239,0,0
"Mar 24, 01:00 am",-0.0034239,1,0
"Mar 24, 02:00 am",-0.0034239,2,0
"Mar 24, 03:00 am",-0.0034239,3,0
"Mar 24, 04:00 am",-0.0034239,4,0
"Mar 24, 05:00 am",-0.0034239,5,0
"Mar 24, 06:00 am",-0.0034239,6,42
"Mar 24, 07:00 am",1.7919,7,117
"Mar 24, 08:00 am",1.16981,8,198
"Mar 24, 09:00 am",1.27955,9,272
"Mar 24, 10:00 am",2.9799,10,95
"Mar 24, 11:00 am",2.9799,11,80
"Mar 24, 12:00 pm",2.9799,12,66
"Mar 24, 01:00 pm",2.93375,13,68
"Mar 24, 02:00 pm",2.74826,14,86
"Mar 24, 03:00 pm",2.59785,15,69
"Mar 24, 04:00 pm",2.00664,16,78
"Mar 24, 05:00 pm",1.14101,17,28
"Mar 24, 06:00 pm",-0.0034239,18,0
"Mar 24, 07:00 pm",-0.0034239,19,0
"Mar 24, 08:00 pm",-0.0034239,20,0
"Mar 24, 09:00 pm",-0.0034239,21,0
"Mar 24, 10:00 pm",-0.0034239,22,0
"Mar 24, 11:00 pm",-0.0034239,23,0
"Mar 25, 12:00 am",-0.0034239,0,0
"Mar 25, 01:00 am",-0.0034239,1,0
"Mar 25, 02:00 am",-0.0034239,2,0
"Mar 25, 03:00 am",-0.0034239,3,0
"Mar 25, 04:00 am",-0.0034239,4,0
"Mar 25, 05:00 am",-0.0034239,5,0
"Mar 25, 06:00 am",-0.0034239,6,40
"Mar 25, 07:00 am",1.6303,7,99
"Mar 25, 08:00 am",2.51824,8,98
"Mar 25, 09:00 am",2.62013,9,132
"Mar 25, 10:00 am",2.66309,10,149
"Mar 25, 11:00 am",2.71281,11,141
"Mar 25, 12:00 pm",2.66157,12,154
"Mar 25, 01:00 pm",2.67175,13,136
"Mar 25, 02:00 pm",2.53486,14,138
"Mar 25, 03:00 pm",1.95947,15,156
"Mar 25, 04:00 pm",1.45162,16,106
"Mar 25, 05:00 pm",0.958435,17,31
"Mar 25, 06:00 pm",-0.0034239,18,0
"Mar 25, 07:00 pm",-0.0034239,19,0
"Mar 25, 08:00 pm",-0.0034239,20,0
"Mar 25, 09:00 pm",-0.0034239,21,0
"Mar 25, 10:00 pm",-0.0034239,22,0
"Mar 25, 11:00 pm",-0.0034239,23,0
"Mar 26, 12:00 am",-0.0034239,0,0
"Mar 26, 01:00 am",-0.0034239,1,0
"Mar 26, 02:00 am",-0.0034239,2,0
"Mar 26, 03:00 am",-0.0034239,3,0
"Mar 26, 04:00 am",-0.0034239,4,0
"Mar 26, 05:00 am",-0.0034239,5,0
"Mar 26, 06:00 am",-0.0034239,6,43
"Mar 26, 07:00 am",1.96829,7,131
"Mar 26, 08:00 am",0.40137,8,135
"Mar 26, 09:00 am",0.321619,9,139
"Mar 26, 10:00 am",0.333786,10,146
"Mar 26, 11:00 am",0.479593,11,196
"Mar 26, 12:00 pm",0.755649,12,277
"Mar 26, 01:00 pm",2.7851,13,130
"Mar 26, 02:00 pm",1.86945,14,241
"Mar 26, 03:00 pm",0.40521,15,158
"Mar 26, 04:00 pm",0.123729,16,67
"Mar 26, 05:00 pm",0.202438,17,32
"Mar 26, 06:00 pm",-0.0034239,18,0
"Mar 26, 07:00 pm",-0.0034239,19,0
"Mar 26, 08:00 pm",-0.0034239,20,0
"Mar 26, 09:00 pm",-0.0034239,21,0
"Mar 26, 10:00 pm",-0.0034239,22,0
"Mar 26, 11:00 pm",-0.0034239,23,0
"Mar 27, 12:00 am",-0.0034239,0,0
"Mar 27, 01:00 am",-0.0034239,1,0
"Mar 27, 02:00 am",-0.0034239,2,0
"Mar 27, 03:00 am",-0.0034239,3,0
"Mar 27, 04:00 am",-0.0034239,4,0
"Mar 27, 05:00 am",-0.0034239,5,0
"Mar 27, 06:00 am",-0.0034239,6,48
"Mar 27, 07:00 am",1.12437,7,114
"Mar 27, 08:00 am",1.2506,8,210
"Mar 27, 09:00 am",0.202492,9,99
"Mar 27, 10:00 am",1.57076,10,329
"Mar 27, 11:00 am",2.92692,11,143
"Mar 27, 12:00 pm",2.43121,12,264
"Mar 27, 01:00 pm",1.21927,13,317
"Mar 27, 02:00 pm",0.377543,14,159
"Mar 27, 03:00 pm",0.647535,15,186
"Mar 27, 04:00 pm",0.136963,16,73
"Mar 27, 05:00 pm",0.411113,17,37
"Mar 27, 06:00 pm",-0.0034239,18,0
"Mar 27, 07:00 pm",-0.0034239,19,0
"Mar 27, 08:00 pm",-0.0034239,20,0
"Mar 27, 09:00 pm",-0.0034239,21,0
"Mar 27, 10:00 pm",-0.0034239,22,0
"Mar 27, 11:00 pm",-0.0034239,23,0
"Mar 28, 12:00 am",-0.0034239,0,0
"Mar 28, 01:00 am",-0.0034239,1,0
"Mar 28, 02:00 am",-0.0034239,2,0
"Mar 28, 03:00 am",-0.0034239,3,0
"Mar 28, 04:00 am",-0.0034239,4,0
"Mar 28, 05:00 am",-0.0034239,5,0
"Mar 28, 06:00 am",-0.0034239,6,25
"Mar 28, 07:00 am",1.80053,7,133
"Mar 28, 08:00 am",0.649281,8,175
"Mar 28, 09:00 am",0.828461,9,249
"Mar 28, 10:00 am",0.519249,10,207
"Mar 28, 11:00 am",0.326246,11,140
"Mar 28, 12:00 pm",0.277746,12,120
"Mar 28, 01:00 pm",0.444781,13,181
"Mar 28, 02:00 pm",0.310792,14,134
"Mar 28, 03:00 pm",0.159071,15,78
"Mar 28, 04:00 pm",0.10491,16,58
"Mar 28, 05:00 pm",0.00917317,17,13
"Mar 28, 06:00 pm",-0.0034239,18,0
"Mar 28, 07:00 pm",-0.0034239,19,0
"Mar 28, 08:00 pm",-0.0034239,20,0
"Mar 28, 09:00 pm",-0.0034239,21,0
"Mar 28, 10:00 pm",-0.0034239,22,0
"Mar 28, 11:00 pm",-0.0034239,23,0
"Mar 29, 12:00 am",-0.0034239,0,0
"Mar 29, 01:00 am",-0.0034239,1,0
"Mar 29, 02:00 am",-0.0034239,2,0
"Mar 29, 03:00 am",-0.0034239,3,0
"Mar 29, 04:00 am",-0.0034239,4,0
"Mar 29, 05:00 am",-0.0034239,5,0
"Mar 29, 06:00 am",-0.0034239,6,40
"Mar 29, 07:00 am",1.62493,7,134
"Mar 29, 08:00 am",1.65243,8,220
"Mar 29, 09:00 am",2.0292,9,260
"Mar 29, 10:00 am",0.746368,10,266
"Mar 29, 11:00 am",1.13464,11,333
"Mar 29, 12:00 pm",1.67417,12,352
"Mar 29, 01:00 pm",1.44113,13,327
"Mar 29, 02:00 pm",0.954709,14,265
"Mar 29, 03:00 pm",0.826412,15,202
"Mar 29, 04:00 pm",0.912262,16,124
"Mar 29, 05:00 pm",1.27285,17,35
"Mar 29, 06:00 pm",-0.0034239,18,0
"Mar 29, 07:00 pm",-0.0034239,19,0
"Mar 29, 08:00 pm",-0.0034239,20,0
"Mar 29, 09:00 pm",-0.0034239,21,0
"Mar 29, 10:00 pm",-0.0034239,22,0
"Mar 29, 11:00 pm",-0.0034239,23,0
"Mar 30, 12:00 am",-0.0034239,0,0
"Mar 30, 01:00 am",-0.0034239,1,0
"Mar 30, 02:00 am",-0.0034239,2,0
"Mar 30, 03:00 am",-0.0034239,3,0
"Mar 30, 04:00 am",-0.0034239,4,0
"Mar 30, 05:00 am",-0.0034239,5,0
"Mar 30, 06:00 am",-0.0034239,6,59
"Mar 30, 07:00 am",2.02042,7,137
"Mar 30, 08:00 am",2.45283,8,129
"Mar 30, 09:00 am",1.46572,9,290
"Mar 30, 10:00 am",1.40572,10,334
"Mar 30, 11:00 am",0.165167,11,78
"Mar 30, 12:00 pm",2.32484,12,268
"Mar 30, 01:00 pm",1.19796,13,322
"Mar 30, 02:00 pm",0.228552,14,104
"Mar 30, 03:00 pm",0.167289,15,82
"Mar 30, 04:00 pm",0.126302,16,68
"Mar 30, 05:00 pm",0.0313615,17,25
"Mar 30, 06:00 pm",-0.0034239,18,0
"Mar 30, 07:00 pm",-0.0034239,19,0
"Mar 30, 08:00 pm",-0.0034239,20,0
"Mar 30, 09:00 pm",-0.0034239,21,0
"Mar 30, 10:00 pm",-0.0034239,22,0
"Mar 30, 11:00 pm",-0.0034239,23,0
"Mar 31, 12:00 am",-0.0034239,0,0
"Mar 31, 01:00 am",-0.0034239,1,0
"Mar 31, 02:00 am",-0.0034239,2,0
"Mar 31, 03:00 am",-0.0034239,3,0
"Mar 31, 04:00 am",-0.0034239,4,0
"Mar 31, 05:00 am",-0.0034239,5,0
"Mar 31, 06:00 am",-0.0034239,6,30
"Mar 31, 07:00 am",0.87785,7,119
"Mar 31, 08:00 am",0.794005,8,200
"Mar 31, 09:00 am",1.74473,9,287
"Mar 31, 10:00 am",2.26862,10,266
"Mar 31, 11:00 am",2.2578,11,296
"Mar 31, 12:00 pm",2.57624,12,212
"Mar 31, 01:00 pm",2.36051,13,241
"Mar 31, 02:00 pm",2.12447,14,228
"Mar 31, 03:00 pm",1.89879,15,178
"Mar 31, 04:00 pm",1.81102,16,102
"Mar 31, 05:00 pm",1.52529,17,33
"Mar 31, 06:00 pm",-0.0034239,18,0
"Mar 31, 07:00 pm",-0.0034239,19,0
"Mar 31, 08:00 pm",-0.0034239,20,0
"Mar 31, 09:00 pm",-0.0034239,21,0
"Mar 31, 10:00 pm",-0.0034239,22,0
"Mar 31, 11:00 pm",-0.0034239,23,0
"Apr 1, 12:00 am",-0.0034239,0,0
"Apr 1, 01:00 am",-0.0034239,1,0
"Apr 1, 02:00 am",-0.0034239,2,0
"Apr 1, 03:00 am",-0.0034239,3,0
"Apr 1, 04:00 am",-0.0034239,4,0
"Apr 1, 05:00 am",-0.0034239,5,0
"Apr 1, 06:00 am",-0.0034239,6,49
"Apr 1, 07:00 am",0.448147,7,89
"Apr 1, 08:00 am",0.246004,8,105
"Apr 1, 09:00 am",0.320791,9,138
"Apr 1, 10:00 am",2.9799,10,120
"Apr 1, 11:00 am",2.9799,11,152
"Apr 1, 12:00 pm",2.683,12,233
"Apr 1, 01:00 pm",1.11546,13,316
"Apr 1, 02:00 pm",0.922882,14,263
"Apr 1, 03:00 pm",2.11985,15,164
"Apr 1, 04:00 pm",0.801349,16,130
"Apr 1, 05:00 pm",0.790805,17,47
"Apr 1, 06:00 pm",-0.0034239,18,0
"Apr 1, 07:00 pm",-0.0034239,19,0
"Apr 1, 08:00 pm",-0.0034239,20,0
"Apr 1, 09:00 pm",-0.0034239,21,0
"Apr 1, 10:00 pm",-0.0034239,22,0
"Apr 1, 11:00 pm",-0.0034239,23,0
"Apr 2, 12:00 am",-0.0034239,0,0
"Apr 2, 01:00 am",-0.0034239,1,0
"Apr 2, 02:00 am",-0.0034239,2,0
"Apr 2, 03:00 am",-0.0034239,3,0
"Apr 2, 04:00 am",-0.0034239,4,0
"Apr 2, 05:00 am",-0.0034239,5,0
"Apr 2, 06:00 am",-0.0034239,6,24
"Apr 2, 07:00 am",0.208374,7,65
"Apr 2, 08:00 am",0.116,8,66
"Apr 2, 09:00 am",0.228799,9,107
"Apr 2, 10:00 am",0.271744,10,120
"Apr 2, 11:00 am",0.360903,11,149
